1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.404233	0.000000	21.591794	0.018425	35.3
1	-0.397867	0.000000	21.591794	0.015797	1.8
2	-0.417708	0.000000	21.591794	0.012221	1.8
3	-0.431660	0.000000	21.591794	0.018681	2.1
4	-0.418759	0.000000	21.591794	0.017864	1.8
5	-0.467053	0.000000	21.591794	0.006859	1.6
6	-0.424931	0.826028	20.774631	0.012523	1.7
7	-0.438338	0.577387	21.014022	0.009840	2.3
8	-0.424797	0.842911	20.758574	0.014502	1.7
9	-0.424760	1.842902	19.849828	0.007544	1.6
10	-0.393037	1.594252	20.068276	0.007437	1.7
11	-0.428802	2.577900	19.231046	0.010574	2.1
12	-0.443693	2.437539	19.346216	0.009731	2.3
13	-0.412904	2.188888	19.553662	0.011558	1.6
14	-0.421829	3.060633	18.845210	0.009033	1.6
15	-0.422872	2.842172	19.017885	0.008402	1.7
16	-0.439847	2.593521	19.218313	0.008638	2.1
17	-0.442389	2.344874	19.423008	0.012574	1.6
18	-0.454996	3.344874	18.625181	0.008848	1.6
19	-0.431241	3.096224	18.817375	0.010932	1.6
20	-0.448372	4.096224	18.067566	0.014529	1.6
21	-0.444961	3.847573	18.248369	0.018287	1.9
22	-0.437820	3.598922	18.432827	0.011045	1.6
23	-0.424102	4.598922	17.712765	0.017278	1.6
24	-0.415270	5.598922	17.046844	0.016296	1.6
25	-0.430814	6.039819	16.768887	0.016770	1.5
26	-0.422621	5.791169	16.924520	0.017546	2.1
27	-0.437914	5.542518	17.083070	0.014715	1.9
28	-0.442649	6.434666	16.527545	0.012803	1.6
29	-0.478282	6.186015	16.678711	0.011449	1.6
30	-0.440097	7.186015	16.086974	0.014483	1.6
31	-0.453941	8.186015	15.535786	0.014160	1.9
32	-0.420822	7.937364	15.669281	0.016104	1.5
33	-0.435773	7.689290	15.804772	0.011938	1.8
34	-0.438896	7.440639	15.942950	0.016845	1.6
35	-0.433819	8.412049	15.416392	0.014023	1.5
36	-0.429849	8.163399	15.547834	0.007386	1.9
37	-0.434164	9.032617	15.097841	0.009605	1.6
38	-0.418367	8.783967	15.223885	0.013074	1.6
39	-0.418452	9.436706	14.897397	0.010801	1.6
40	-0.425811	10.436706	14.423512	0.006039	1.6
41	-0.431265	10.204088	14.531035	0.010328	2.2
42	-0.480069	10.220294	14.523492	0.008801	2.1
43	-0.466192	9.971644	14.640091	0.012642	1.7
44	-0.439382	9.722993	14.758578	0.009876	1.6
45	-0.446617	10.500461	14.394319	0.011179	1.5
46	-0.437139	11.500461	13.951423	0.016368	2.0
47	-0.468883	11.284203	14.044878	0.009977	1.7
48	-0.444419	11.035552	14.153890	0.013253	1.7
49	-0.428426	10.786902	14.264608	0.016069	1.6
50	-0.473343	11.786899	13.829539	0.013501	1.5
51	-0.449580	11.538248	13.935221	0.019895	1.8
52	-0.494107	11.289598	14.042531	0.012523	2.2
53	-0.443745	11.040947	14.151507	0.011007	1.7
54	-0.447864	10.910614	14.209306	0.011774	1.5
55	-0.466547	10.661964	14.320896	0.009456	1.5
56	-0.412705	11.661723	13.882540	0.019182	1.7
57	-0.459739	12.661723	13.470127	0.014806	2.2
58	-0.454300	12.413073	13.570368	0.017100	1.6
59	-0.439989	12.164422	13.672112	0.018012	1.8
60	-0.462835	13.164422	13.271926	0.015793	2.0
61	-0.482654	12.915771	13.369228	0.015339	2.7
62	-0.464036	12.667121	13.467967	0.011976	1.9
63	-0.479278	12.424150	13.565870	0.011594	1.8
64	-0.451138	13.423213	13.172149	0.011672	1.8
65	-0.455975	14.421941	12.800758	0.010962	2.0
66	-0.459543	15.421941	12.449300	0.010769	2.4
67	-0.450500	15.173480	12.534810	0.010534	1.9
68	-0.435814	14.924829	12.621568	0.010657	2.0
69	-0.480376	14.682134	12.707415	0.016714	1.9
70	-0.472562	15.682134	12.360995	0.017497	2.4
71	-0.488889	16.682134	12.032962	0.010949	1.9
72	-0.455221	17.682134	11.721889	0.016308	1.9
73	-0.428615	18.682134	11.426494	0.016626	1.9
74	-0.461632	19.682134	11.145622	0.017136	2.4
75	-0.481499	20.682134	10.878226	0.012382	1.9
76	-0.431649	21.681112	10.623615	0.011357	1.9
77	-0.471194	21.432461	10.685868	0.014080	1.9
78	-0.456071	22.386507	10.450892	0.013093	2.0
79	-0.455644	23.354197	10.222881	0.014713	1.7
80	-0.463184	24.354197	9.997480	0.014337	2.0
81	-0.476623	24.105546	10.052593	0.011978	1.8
82	-0.462239	23.856896	10.108316	0.015036	1.8
83	-0.474153	24.856540	9.887961	0.010335	2.2
84	-0.470840	25.268702	9.799879	0.015696	1.7
85	-0.464459	26.268702	9.592556	0.006882	1.6
86	-0.458087	26.020052	9.643283	0.010483	1.6
87	-0.477068	27.019433	9.442587	0.010478	1.9
88	-0.451232	28.019433	9.249958	0.007461	2.1
89	-0.449264	27.770782	9.297117	0.016578	1.7
90	-0.430843	27.522132	9.344760	0.017046	1.6
91	-0.481256	28.522099	9.156068	0.014174	1.5
92	-0.436024	28.273449	9.202272	0.010425	1.9
93	-0.467247	28.024888	9.248929	0.021031	1.8
94	-0.490514	27.776237	9.296078	0.013328	1.7
95	-0.474671	27.527771	9.343674	0.018110	1.5
96	-0.472199	27.279158	9.391789	0.014277	1.5
97	-0.484102	27.030508	9.440410	0.014303	1.6
98	-0.483711	26.781857	9.489537	0.016229	2.3
99	-0.460708	27.182799	9.410572	0.011557	1.4
100	-0.456536	26.934149	9.459387	0.011600	1.6
101	-0.479605	26.685498	9.508712	0.020400	1.5
102	-0.451131	27.682950	9.313891	0.011814	1.9
103	-0.451432	28.682950	9.126424	0.011100	1.7
104	-0.455218	28.434299	9.172330	0.014987	1.6
105	-0.461067	28.185649	9.218699	0.014278	1.6
106	-0.467918	27.936998	9.265539	0.009571	1.6
107	-0.484238	27.688348	9.312858	0.014801	2.0
108	-0.459900	27.439699	9.360663	0.016335	1.8
109	-0.474575	27.195089	9.408172	0.013355	1.6
110	-0.467205	28.195026	9.216942	0.013289	1.6
111	-0.494964	29.195026	9.033319	0.012234	1.5
112	-0.490556	28.946376	9.078290	0.010156	1.9
113	-0.455613	29.053460	9.058868	0.017193	1.7
114	-0.474489	28.804810	9.104094	0.014708	1.6
115	-0.477552	28.556159	9.149775	0.006962	1.6
116	-0.455805	29.502953	8.978241	0.013335	1.7
117	-0.488014	30.502939	8.803919	0.015471	1.9
118	-0.476076	31.501573	8.636459	0.012191	1.7
119	-0.464612	31.252974	8.677548	0.015518	1.6
120	-0.493378	32.153732	8.530496	0.010490	1.6
121	-0.485943	31.905082	8.570588	0.013809	1.7
122	-0.473664	31.656436	8.611059	0.015582	2.1
123	-0.452834	32.656436	8.450574	0.012698	1.8
124	-0.481644	32.407786	8.489917	0.009404	1.7
125	-0.465820	32.179240	8.526404	0.014685	1.7
126	-0.448638	33.179240	8.369030	0.017440	1.6
127	-0.490621	32.930590	8.407616	0.020026	2.1
128	-0.487197	33.930590	8.254557	0.014144	1.7
129	-0.463209	33.681939	8.292092	0.018175	1.8
130	-0.465033	34.681895	8.143180	0.010628	1.6
131	-0.477951	34.433245	8.179707	0.008889	1.6
132	-0.459714	34.184598	8.216562	0.017933	2.0
133	-0.471551	33.935947	8.253752	0.013407	1.7
134	-0.487107	34.935939	8.106196	0.011792	1.7
135	-0.461300	35.935939	7.963822	0.010557	1.7
136	-0.468817	35.687288	7.998754	0.013966	1.6
137	-0.476826	35.438638	8.033994	0.012215	2.3
138	-0.453210	36.438637	7.894123	0.008978	1.9
139	-0.490906	36.189992	7.928445	0.008337	1.9
140	-0.482775	35.941346	7.963066	0.013059	1.8
141	-0.463633	36.937045	7.826213	0.010478	2.0
142	-0.472627	36.688404	7.859945	0.015609	2.2
143	-0.480775	36.439754	7.893970	0.012086	1.9
144	-0.477715	36.191103	7.928291	0.016194	1.7
145	-0.468294	37.191103	7.792045	0.008234	1.6
146	-0.496523	38.191102	7.660403	0.011040	1.9
147	-0.473306	37.947115	7.692110	0.015985	1.8
148	-0.441742	38.947115	7.563795	0.006853	1.8
149	-0.474727	39.336826	7.514941	0.009926	1.7
150	-0.467424	39.090049	7.545803	0.013145	1.7
151	-0.463111	40.042206	7.428101	0.015509	1.8
152	-0.495603	39.793555	7.458483	0.011275	2.2
153	-0.449252	39.544904	7.489114	0.019358	1.7
154	-0.461941	39.296254	7.519998	0.013174	1.7
155	-0.485534	40.296254	7.397315	0.015691	1.6
156	-0.493173	40.047603	7.427445	0.014729	2.0
157	-0.482105	39.798953	7.457821	0.014817	1.9
158	-0.492121	40.798952	7.337142	0.015716	1.9
159	-0.482784	40.550302	7.366782	0.009383	1.8
160	-0.469854	41.550301	7.249009	0.008354	2.1
161	-0.479249	41.320693	7.275716	0.012827	2.1
162	-0.461573	41.072110	7.304854	0.013099	1.7
163	-0.491524	40.824069	7.334161	0.014676	1.6
164	-0.431122	40.575445	7.363774	0.009683	1.7
165	-0.458568	40.330458	7.393189	0.021283	2.4
166	-0.476814	40.082274	7.423229	0.017157	1.8
167	-0.494700	41.082274	7.303658	0.011981	1.6
168	-0.449504	40.835027	7.332861	0.010529	1.6
169	-0.465258	40.586376	7.362467	0.010905	1.7
170	-0.482679	41.581763	7.245364	0.009839	2.2
171	-0.454705	41.855059	7.213861	0.010033	1.8
172	-0.478995	41.606941	7.242451	0.015067	1.6
173	-0.476930	41.358290	7.271330	0.012713	1.7
174	-0.483629	41.109724	7.300430	0.017377	1.9
175	-0.499112	42.109724	7.184752	0.012895	1.9
176	-0.492723	43.109722	7.072682	0.014746	1.7
177	-0.458408	44.109722	6.964055	0.011964	1.7
178	-0.461240	43.861072	6.990752	0.006855	1.6
179	-0.468024	43.615182	7.017355	0.016007	2.2
180	-0.453252	43.366531	7.044464	0.012987	1.7
181	-0.453793	43.117881	7.071782	0.012298	1.7
182	-0.461603	43.021182	7.082463	0.011990	1.6
183	-0.473518	42.772532	7.110078	0.013055	1.6
184	-0.507276	42.523881	7.137909	0.011838	1.9
185	-0.507291	42.275331	7.165947	0.008647	2.2
186	-0.457601	43.268470	7.055212	0.007478	1.7
187	-0.494321	43.020151	7.082578	0.013051	1.7
188	-0.479846	42.773874	7.109929	0.015094	1.6
189	-0.473883	42.525223	7.137758	0.017783	2.1
190	-0.467548	43.525223	7.027139	0.017398	1.8
191	-0.471092	43.278246	7.054139	0.008594	1.7
192	-0.477821	43.029595	7.081533	0.010107	1.6
193	-0.488230	42.780968	7.109138	0.009670	1.7
194	-0.466695	42.532318	7.136961	0.012610	2.3
195	-0.488497	42.284478	7.164911	0.013562	1.8
196	-0.493513	42.035828	7.193174	0.013980	1.7
197	-0.483681	41.787177	7.221661	0.012930	1.7
198	-0.493345	41.538526	7.250374	0.011832	1.8
199	-0.505951	41.289876	7.279316	0.010869	2.2
200	-0.455990	42.069184	7.189370	0.010503	1.7
201	-0.489980	43.069015	7.077176	0.006439	1.7
202	-0.465764	42.847907	7.101684	0.013990	1.6
203	-0.456803	42.599257	7.129449	0.009271	1.9
204	-0.463698	42.506884	7.139819	0.007937	2.5
205	-0.472255	42.258464	7.167858	0.011945	1.9
206	-0.510157	42.082212	7.187885	0.015198	1.8
207	-0.470662	41.833562	7.216329	0.010037	1.7
208	-0.510726	42.833110	7.103331	0.011513	2.1
209	-0.512900	43.833110	6.993767	0.008634	1.8
210	-0.499815	43.584459	7.020693	0.015752	1.6
211	-0.476402	43.335809	7.047828	0.010516	1.6
212	-0.510483	43.087209	7.075167	0.009341	1.8
213	-0.479130	44.087208	6.966464	0.009679	1.8
214	-0.480995	43.838703	6.993164	0.018756	1.7
215	-0.467055	43.590053	7.020085	0.009336	1.6
216	-0.528487	44.590052	6.913056	0.012964	1.6
